TransactionNo,Items,DateTime,Daypart,DayType
1.0,Bread,2016-10-30 09:58:11,Morning,Weekend
2.0,Scandinavian,2016-10-30 10:05:34,Morning,Weekend
2.0,Scandinavian,2016-10-30 10:05:34,Morning,Weekend
3.0,Hot chocolate,2016-10-30 10:07:57,Morning,Weekend
3.0,Jam,2016-10-30 10:07:57,Morning,Weekend
3.0,Cookies,2016-10-30 10:07:57,Morning,Weekend
4.0,Muffin,2016-10-30 10:08:41,Morning,Weekend
5.0,Coffee,2016-10-30 10:13:03,Morning,Weekend
5.0,Pastry,2016-10-30 10:13:03,Morning,Weekend
5.0,Bread,2016-10-30 10:13:03,Morning,Weekend
6.0,Medialuna,2016-10-30 10:16:55,Morning,Weekend
6.0,Pastry,2016-10-30 10:16:55,Morning,Weekend
6.0,Muffin,2016-10-30 10:16:55,Morning,Weekend
7.0,Medialuna,2016-10-30 10:19:12,Morning,Weekend
7.0,Pastry,2016-10-30 10:19:12,Morning,Weekend
7.0,Coffee,2016-10-30 10:19:12,,Weekend
7.0,Tea,2016-10-30 10:19:12,Morning,Weekend
8.0,Pastry,2016-10-30 10:20:51,Morning,Weekend
8.0,Bread,2016-10-30 10:20:51,Morning,Weekend
9.0,Bread,2016-10-30 10:21:59,Morning,Weekend
9.0,Muffin,2016-10-30 10:21:59,Morning,Weekend
10.0,Scandinavian,2016-10-30 10:25:58,Morning,Weekend
10.0,Medialuna,2016-10-30 10:25:58,Morning,Weekend
11.0,Bread,2016-10-30 10:27:21,Morning,Weekend
11.0,Medialuna,2016-10-30 10:27:21,Morning,Weekend
11.0,Bread,2016-10-30 10:27:21,Morning,Weekend
12.0,Jam,2016-10-30 10:30:14,Morning,Weekend
12.0,Coffee,2016-10-30 10:30:14,Morning,Weekend
12.0,Tartine,2016-10-30 10:30:14,Morning,Weekend
12.0,Pastry,2016-10-30 10:30:14,Morning,Weekend
12.0,Tea,2016-10-30 10:30:14,Morning,Weekend
13.0,Basket,2016-10-30 10:31:24,Morning,Weekend
13.0,Bread,2016-10-30 10:31:24,Morning,Weekend
13.0,Coffee,2016-10-30 10:31:24,Morning,Weekend
14.0,Bread,2016-10-30 10:32:46,Morning,Weekend
14.0,Medialuna,2016-10-30 10:32:46,Morning,Weekend
14.0,Pastry,2016-10-30 10:32:46,Morning,Weekend
15.0,Mineral water,2016-10-30 10:34:36,Morning,Weekend
15.0,Scandinavian,2016-10-30 10:34:36,Morning,Weekend
16.0,Bread,2016-10-30 10:37:08,Morning,Weekend
16.0,Medialuna,2016-10-30 10:37:08,Morning,Weekend
16.0,Coffee,2016-10-30 10:37:08,Morning,Weekend
17.0,Hot chocolate,2016-10-30 10:38:04,Morning,Weekend
18.0,Farm House,2016-10-30 10:41:56,Morning,Weekend
19.0,Farm House,2016-10-30 10:43:08,Morning,Weekend
19.0,Bread,2016-10-30 10:43:08,Morning,Weekend
20.0,Bread,2016-10-30 10:45:22,Morning,Weekend
20.0,Medialuna,2016-10-30 10:45:22,Morning,Weekend
21.0,Coffee,2016-10-30 10:49:29,Morning,Weekend
21.0,Coffee,2016-10-30 10:49:29,Morning,Weekend
21.0,Medialuna,2016-10-30 10:49:29,Morning,Weekend
21.0,Bread,2016-10-30 10:49:29,Morning,Weekend
22.0,Jam,2016-10-30 10:52:15,Morning,Weekend
23.0,Scandinavian,2016-10-30 10:53:49,Morning,Weekend
23.0,Muffin,2016-10-30 10:53:49,Morning,Weekend
24.0,Bread,2016-10-30 10:54:33,Morning,Weekend
25.0,Scandinavian,2016-10-30 10:55:22,Morning,Weekend
26.0,Fudge,2016-10-30 10:56:08,Morning,Weekend
27.0,Scandinavian,2016-10-30 11:02:19,Morning,Weekend
28.0,Coffee,2016-10-30 11:03:24,Morning,Weekend
28.0,Bread,2016-10-30 11:03:24,Morning,Weekend
29.0,Bread,2016-10-30 11:05:30,Morning,Weekend
,Jam,2016-10-30 11:05:30,Morning,Weekend
30.0,Bread,2016-10-30 11:07:19,Morning,Weekend
31.0,Basket,2016-10-30 11:12:56,Morning,Weekend
32.0,Scandinavian,2016-10-30 11:16:15,Morning,Weekend
32.0,Muffin,2016-10-30 11:16:15,Morning,Weekend
33.0,Coffee,2016-10-30 11:22:49,Morning,Weekend
34.0,Coffee,2016-10-30 11:25:45,Morning,Weekend
34.0,Muffin,2016-10-30 11:25:45,Morning,Weekend
35.0,,2016-10-30 11:27:34,Morning,Weekend
35.0,Scandinavian,2016-10-30 11:27:34,Morning,Weekend
36.0,Tea,2016-10-30 11:33:08,Morning,Weekend
36.0,Bread,2016-10-30 11:33:08,Morning,Weekend
37.0,Coffee,2016-10-30 11:37:10,Morning,Weekend
37.0,Bread,2016-10-30 11:37:10,Morning,Weekend
38.0,Bread,2016-10-30 11:42:40,Morning,Weekend
38.0,Tea,2016-10-30 11:42:40,Morning,Weekend
39.0,Scandinavian,2016-10-30 11:44:31,Morning,Weekend
40.0,Juice,2016-10-30 11:55:51,Morning,Weekend
40.0,Tartine,2016-10-30 11:55:51,Morning,Weekend
40.0,Coffee,2016-10-30 11:55:51,Morning,Weekend
40.0,Muffin,2016-10-30 11:55:51,Morning,Weekend
41.0,Scandinavian,2016-10-30 11:57:06,Morning,Weekend
42.0,Bread,2016-10-30 11:57:45,Morning,Weekend
42.0,Tea,2016-10-30 11:57:45,Morning,Weekend
43.0,Scandinavian,2016-10-30 12:00:22,Afternoon,Weekend
43.0,Fudge,2016-10-30 12:00:22,Afternoon,Weekend
44.0,Coffee,,Afternoon,Weekend
44.0,Medialuna,2016-10-30 12:05:47,Afternoon,Weekend
45.0,Coffee,2016-10-30 12:08:36,Afternoon,Weekend
45.0,Hot chocolate,2016-10-30 12:08:36,Afternoon,Weekend
45.0,Medialuna,2016-10-30 12:08:36,Afternoon,Weekend
46.0,Coffee,2016-10-30 12:09:04,Afternoon,Weekend
47.0,Ella's Kitchen Pouches,,Afternoon,Weekend
47.0,Juice,2016-10-30 12:15:29,Afternoon,Weekend
47.0,Bread,2016-10-30 12:15:29,Afternoon,Weekend
47.0,Muffin,2016-10-30 12:15:29,Afternoon,Weekend
47.0,Jam,2016-10-30 12:15:29,Afternoon,Weekend
48.0,Coffee,2016-10-30 12:17:02,Afternoon,Weekend
49.0,Coffee,2016-10-30 12:23:01,Afternoon,Weekend
49.0,Coffee,2016-10-30 12:23:01,Afternoon,Weekend
49.0,Medialuna,2016-10-30 12:23:01,Afternoon,Weekend
50.0,Bread,2016-10-30 12:25:11,Afternoon,Weekend
50.0,Victorian Sponge,2016-10-30 12:25:11,Afternoon,Weekend
51.0,Bread,2016-10-30 12:26:58,Afternoon,Weekend
52.0,Scandinavian,2016-10-30 12:28:07,Afternoon,Weekend
54.0,Bread,2016-10-30 12:33:08,Afternoon,Weekend
55.0,Frittata,2016-10-30 12:38:06,Afternoon,Weekend
55.0,Coffee,2016-10-30 12:38:06,Afternoon,Weekend
55.0,Tea,2016-10-30 12:38:06,Afternoon,Weekend
55.0,Hearty & Seasonal,2016-10-30 12:38:06,Afternoon,Weekend
56.0,Coffee,2016-10-30 12:39:27,Afternoon,Weekend
56.0,Frittata,2016-10-30 12:39:27,Afternoon,Weekend
57.0,Scandinavian,2016-10-30 12:45:48,Afternoon,
58.0,Victorian Sponge,2016-10-30 12:59:29,Afternoon,Weekend
58.0,Hot chocolate,2016-10-30 12:59:29,Afternoon,Weekend
58.0,Tea,2016-10-30 12:59:29,Afternoon,Weekend
58.0,Soup,2016-10-30 12:59:29,Afternoon,Weekend
59.0,Tea,2016-10-30 13:02:04,Afternoon,Weekend
60.0,Cookies,2016-10-30 13:14:04,Afternoon,Weekend
60.0,Coffee,2016-10-30 13:14:04,Afternoon,Weekend
60.0,Juice,2016-10-30 13:14:04,,Weekend
60.0,Coffee,2016-10-30 13:14:04,Afternoon,Weekend
61.0,Coffee,2016-10-30 13:15:38,Afternoon,Weekend
62.0,Pick and Mix Bowls,2016-10-30 13:24:00,Afternoon,Weekend
62.0,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend
62.0,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend
62.0,Coffee,2016-10-30 13:24:00,Afternoon,Weekend
62.0,Smoothies,2016-10-30 13:24:00,,Weekend
62.0,Coffee,2016-10-30 13:24:00,Afternoon,Weekend
63.0,Coffee,2016-10-30 13:33:12,Afternoon,Weekend
64.0,Cake,2016-10-30 13:34:07,Afternoon,Weekend
65.0,Tartine,2016-10-30 13:37:25,Afternoon,Weekend
65.0,Mighty Protein,2016-10-30 13:37:25,Afternoon,Weekend
65.0,Tea,2016-10-30 13:37:25,Afternoon,Weekend
65.0,Coffee,2016-10-30 13:37:25,Afternoon,Weekend
66.0,Hearty & Seasonal,2016-10-30 13:40:20,Afternoon,Weekend
66.0,Frittata,2016-10-30 13:40:20,Afternoon,Weekend
66.0,Mineral water,2016-10-30 13:40:20,Afternoon,Weekend
67.0,Hearty & Seasonal,2016-10-30 13:46:48,Afternoon,Weekend
67.0,Mineral water,2016-10-30 13:46:48,Afternoon,Weekend
67.0,Muffin,2016-10-30 13:46:48,Afternoon,Weekend
68.0,Frittata,2016-10-30 13:49:36,Afternoon,Weekend
68.0,Coffee,2016-10-30 13:49:36,Afternoon,Weekend
68.0,Tea,2016-10-30 13:49:36,Afternoon,Weekend
68.0,Scandinavian,2016-10-30 13:49:36,Afternoon,Weekend
68.0,Chicken sand,2016-10-30 13:49:36,Afternoon,Weekend
69.0,Bread,2016-10-30 13:51:49,Afternoon,Weekend
69.0,Tea,2016-10-30 13:51:49,Afternoon,Weekend
69.0,Victorian Sponge,2016-10-30 13:51:49,Afternoon,Weekend
70.0,Fudge,2016-10-30 13:54:42,Afternoon,Weekend
71.0,Muffin,2016-10-30 13:56:08,Afternoon,Weekend
72.0,Coffee,2016-10-30 14:21:38,Afternoon,Weekend
72.0,Bread,2016-10-30 14:21:38,Afternoon,Weekend
73.0,Bread,2016-10-30 14:22:39,Afternoon,Weekend
74.0,Coffee,2016-10-30 14:24:03,Afternoon,Weekend
74.0,Bread,2016-10-30 14:24:03,Afternoon,Weekend
75.0,Jam,2016-10-30 14:32:26,Afternoon,Weekend
75.0,Frittata,2016-10-30 14:32:26,Afternoon,Weekend
76.0,Coffee,2016-10-30 14:32:49,Afternoon,Weekend
77.0,Scandinavian,2016-10-30 14:35:36,Afternoon,Weekend
78.0,Fudge,2016-10-30 14:42:29,Afternoon,Weekend
79.0,Fudge,2016-10-30 14:45:44,Afternoon,Weekend
79.0,Tea,2016-10-30 14:45:44,Afternoon,Weekend
79.0,Coffee,2016-10-30 14:45:44,Afternoon,Weekend
79.0,Muffin,2016-10-30 14:45:44,Afternoon,Weekend
80.0,Frittata,2016-10-30 14:48:40,Afternoon,Weekend
80.0,Bread,2016-10-30 14:48:40,Afternoon,Weekend
80.0,Coffee,2016-10-30 14:48:40,Afternoon,Weekend
81.0,Coffee,2016-10-31 08:28:31,Morning,Weekday
81.0,Cake,2016-10-31 08:28:31,Morning,Weekday
82.0,Tartine,2016-10-31 08:47:05,Morning,Weekday
82.0,Bread,2016-10-31 08:47:05,Morning,Weekday
83.0,Coffee,2016-10-31 08:57:47,Morning,Weekday
83.0,Bread,2016-10-31 08:57:47,Morning,Weekday
,Bread,2016-10-31 09:04:06,Morning,Weekday
85.0,Coffee,2016-10-31 09:10:09,Morning,Weekday
85.0,Coffee,2016-10-31 09:10:09,Morning,Weekday
85.0,Pastry,2016-10-31 09:10:09,Morning,Weekday
85.0,Medialuna,2016-10-31 09:10:09,Morning,Weekday
86.0,Juice,2016-10-31 09:11:08,Morning,Weekday
87.0,Bread,2016-10-31 09:12:56,Morning,Weekday
88.0,Coffee,2016-10-31 09:16:01,Morning,Weekday
88.0,Coffee,2016-10-31 09:16:01,Morning,Weekday
88.0,Jam,2016-10-31 09:16:01,Morning,Weekday
89.0,Bread,2016-10-31 09:19:41,Morning,Weekday
90.0,Bread,2016-10-31 09:20:12,,Weekday
90.0,Coffee,2016-10-31 09:20:12,Morning,Weekday
91.0,Tea,2016-10-31 09:22:48,Morning,Weekday
92.0,Coffee,2016-10-31 09:27:11,Morning,Weekday
93.0,Bread,2016-10-31 09:29:23,Morning,Weekday
93.0,Coke,2016-10-31 09:29:23,Morning,Weekday
94.0,Coffee,2016-10-31 09:39:09,Morning,Weekday
94.0,Coffee,2016-10-31 09:39:09,Morning,Weekday
95.0,Tea,2016-10-31 09:43:37,Morning,Weekday
95.0,Pastry,2016-10-31 09:43:37,Morning,Weekday
95.0,Farm House,2016-10-31 09:43:37,Morning,Weekday
96.0,Pastry,2016-10-31 09:46:48,Morning,Weekday
96.0,Pastry,2016-10-31 09:46:48,Morning,Weekday
96.0,Coffee,2016-10-31 09:46:48,Morning,Weekday
96.0,Juice,2016-10-31 09:46:48,Morning,Weekday
97.0,Coffee,2016-10-31 09:51:11,Morning,Weekday
97.0,Pastry,2016-10-31 09:51:11,Morning,Weekday
97.0,Juice,2016-10-31 09:51:11,Morning,Weekday
98.0,Farm House,2016-10-31 09:52:22,Morning,Weekday
99.0,Pastry,2016-10-31 09:56:37,Morning,Weekday
99.0,Pastry,2016-10-31 09:56:37,Morning,Weekday
99.0,Coffee,2016-10-31 09:56:37,Morning,Weekday
99.0,Bread,2016-10-31 09:56:37,Morning,Weekday
100.0,Bread,2016-10-31 09:58:06,Morning,Weekday
101.0,Coffee,2016-10-31 10:04:02,Morning,Weekday
101.0,Pastry,2016-10-31 10:04:02,Morning,Weekday
102.0,Farm House,2016-10-31 10:04:44,Morning,Weekday
103.0,Bread,2016-10-31 10:07:40,Morning,Weekday
104.0,Coffee,2016-10-31 10:12:48,Morning,Weekday
104.0,Coffee,2016-10-31 10:12:48,Morning,Weekday
104.0,Medialuna,2016-10-31 10:12:48,Morning,Weekday
104.0,Muffin,2016-10-31 10:12:48,Morning,Weekday
104.0,Coffee,2016-10-31 10:12:48,Morning,Weekday
105.0,Coffee,2016-10-31 10:21:29,Morning,Weekday
105.0,Tea,2016-10-31 10:21:29,Morning,Weekday
105.0,Cake,2016-10-31 10:21:29,Morning,Weekday
106.0,Coffee,2016-10-31 10:24:21,Morning,Weekday
106.0,Coffee,2016-10-31 10:24:21,Morning,Weekday
106.0,Pastry,2016-10-31 10:24:21,Morning,Weekday
106.0,Pastry,2016-10-31 10:24:21,Morning,Weekday
107.0,Coffee,2016-10-31 10:27:30,Morning,Weekday
107.0,Tea,2016-10-31 10:27:30,Morning,Weekday
108.0,Farm House,2016-10-31 10:31:05,Morning,Weekday
108.0,Muffin,2016-10-31 10:31:05,Morning,Weekday
109.0,Bread,2016-10-31 10:35:23,Morning,
109.0,Muffin,2016-10-31 10:35:23,Morning,Weekday
109.0,Pastry,2016-10-31 10:35:23,Morning,Weekday
110.0,Pastry,2016-10-31 10:36:37,Morning,Weekday
111.0,Coffee,2016-10-31 10:38:09,Morning,Weekday
112.0,Coffee,2016-10-31 10:59:17,Morning,Weekday
113.0,Coffee,2016-10-31 11:02:37,Morning,Weekday
113.0,Cake,2016-10-31 11:02:37,Morning,Weekday
114.0,Farm House,2016-10-31 11:05:45,Morning,Weekday
115.0,Bread,2016-10-31 11:08:53,Morning,Weekday
116.0,Coffee,2016-10-31 11:11:01,Morning,Weekday
117.0,Cookies,2016-10-31 11:13:08,Morning,Weekday
117.0,Cake,2016-10-31 11:13:08,Morning,Weekday
117.0,Coffee,2016-10-31 11:13:08,Morning,Weekday
117.0,My-5 Fruit Shoot,2016-10-31 11:13:08,Morning,Weekday
118.0,Cookies,2016-10-31 11:18:29,Morning,Weekday
118.0,Cookies,2016-10-31 11:18:29,Morning,Weekday
118.0,Tea,2016-10-31 11:18:29,Morning,Weekday
